ticker,peg,roe_pct,ev_ebitda,fcf_yield_pct,net_margin_pct,debt_equity,peg_score,roe_score,ev_score,fcf_score,margin_score,debt_score,garp_score
AAPL,0.33,69.8,38.1,2.97,118.2,0.78,0.889,1.0,0.238,0.297,1.0,0.741,0.721
MSFT,0.32,36.9,16.6,2.21,819.6,0.1,0.893,0.738,0.668,0.221,1.0,0.968,0.7456
GOOGL,0.36,33.4,15.3,1.52,71.4,0.11,0.881,0.667,0.694,0.152,1.0,0.965,0.7212
META,0.29,20.3,,,95.5,0.24,0.903,0.407,0.3,0.3,1.0,0.92,0.6341
NVDA,0.3,74.9,21.7,2.65,60.9,0.05,0.9,1.0,0.565,0.265,1.0,0.984,0.7929
AMD,0.15,4.5,46.6,2.51,,0.01,0.95,0.09,0.068,0.251,0.3,0.995,0.4804
AVGO,0.07,23.6,,1.96,108.3,2.69,0.975,0.473,0.3,0.196,1.0,0.102,0.5717
QCOM,0.06,212.6,26.9,4.88,45.1,3.01,0.979,1.0,0.463,0.488,1.0,0.0,0.7362
ORCL,0.83,40.2,15.9,-5.02,25.4,0.17,0.723,0.804,0.682,0.1,0.634,0.944,0.6529
CRM,1.03,21.8,34.8,6.12,326.0,1.15,0.656,0.437,0.304,0.612,1.0,0.618,0.5832
ADBE,0.18,32.7,35.1,3.65,28.2,0.58,0.939,0.654,0.298,0.365,0.706,0.808,0.6632
NFLX,,44.1,27.1,3.17,29.9,0.69,0.3,0.881,0.459,0.317,0.747,0.769,0.5342
AMZN,0.32,19.6,21.8,5.22,12.1,0.28,0.895,0.393,0.564,0.522,0.302,0.907,0.6308
TSLA,,1.6,468.3,0.19,2.8,0.11,0.3,0.031,0.0,0.019,0.07,0.964,0.2025
INTC,,-7.2,,-1.73,-29.6,0.46,0.3,0.1,0.3,0.1,0.1,0.848,0.2648
